26,19,11,34,8,60,6,85,61,59,76,90,97,31,22,10,50,86,48,91,7,0,79,55,96,18,74,64,25,89,87,21,17,35,23,58,98,69,52,9,37,78,20,46,27,92,66,39,53,1,43,72,49,68,81,94,12,75,32,4,36,77,99,70,2,42,40,47,51,45,28,13,95,38,29,84,67,80,24,44,16,14,62,5,41,30,88,3,65,15,93,83,71,73,57,63,54,82,56,33
26,19,11,34,8,60,6,85,61,59,76,90,97,31,22,10,50,86,48,91,7,0,79,55,96,18,74,64,25,89,87,21,69,17,35,23,9,58,98,37,78,52,20,46,27,92,66,39,53,1,43,72,49,68,81,94,12,75,32,4,36,77,99,70,2,42,40,47,51,45,28,13,95,38,29,84,67,80,24,44,16,14,62,5,41,30,88,3,65,15,93,83,71,73,57,63,54,82,56,33
50,86,34,59,6,57,51,70,45,24,37,19,64,78,46,80,40,91,18,17,95,76,54,21,22,87,53,74,8,20,0,89,66,4,39,38,67,69,52,9,79,98,7,96,27,72,84,92,2,60,31,58,11,97,94,99,55,68,25,61,29,85,48,10,28,75,90,33,56,93,26,65,49,35,44,16,77,12,1,14,73,23,88,3,83,71,42,15,41,30,62,5,82,13,63,43,81,32,36,47
6,8,19,11,61,85,59,76,90,97,31,22,10,48,91,7,0,55,96,18,74,64,25,27,92,66,39,72,75,4,36,77,38,84,67,79,60,50,86,26,34,89,87,21,69,17,35,23,9,58,98,37,78,52,20,46,53,1,43,49,68,81,94,12,32,99,70,2,42,40,47,51,45,28,13,95,29,80,24,44,16,14,62,5,41,30,88,3,65,15,93,83,71,73,57,63,54,82,56,33
6,59,76,22,50,91,18,64,87,21,17,35,23,78,46,1,43,81,12,32,36,70,51,45,53,74,37,20,0,89,66,4,39,38,67,69,52,9,79,98,7,96,27,72,84,26,85,34,19,56,8,11,92,2,60,31,58,97,94,99,55,68,25,61,29,33,48,10,28,75,90,49,77,44,16,14,86,82,42,40,47,62,5,41,30,13,95,80,24,88,3,65,15,93,83,71,73,57,63,54
19,33,26,34,8,60,6,85,61,59,76,90,97,31,22,10,50,86,48,91,7,0,79,55,96,18,74,64,25,89,87,21,69,17,35,23,9,58,98,37,78,52,20,46,27,92,66,39,53,1,43,72,49,68,81,94,12,75,32,4,36,77,99,70,2,42,40,47,51,45,28,13,95,38,29,84,67,80,24,44,16,14,62,5,41,30,88,3,65,15,93,83,71,73,57,63,54,82,56,11
86,6,57,51,33,56,26,70,45,24,37,19,64,78,46,80,40,91,18,17,95,76,54,21,22,87,53,74,8,20,0,89,66,4,39,38,67,69,52,9,79,98,7,96,27,2,72,84,92,60,31,58,11,97,94,99,55,68,25,61,29,85,48,10,28,75,90,34,59,44,16,14,62,5,41,30,88,3,65,15,93,35,23,83,71,73,63,1,43,49,81,12,32,36,77,47,13,42,82,50
56,19,26,34,8,80,24,60,6,85,61,59,76,90,97,31,22,44,10,16,14,50,62,48,5,41,91,7,0,79,30,88,55,96,18,74,3,64,65,25,15,87,93,21,69,17,98,35,37,23,78,52,89,83,9,71,20,73,58,46,27,92,57,66,63,39,72,84,53,1,43,49,68,81,94,12,75,32,4,36,77,51,95,38,47,99,40,2,70,13,42,45,28,54,82,33,11,67,29,86
59,37,64,78,46,91,18,17,21,22,87,74,20,0,89,66,69,52,9,79,27,7,96,98,31,58,97,94,25,55,48,10,90,85,19,6,8,77,76,61,92,60,50,86,26,34,56,11,82,54,33,28,2,45,42,70,40,99,47,51,13,95,38,29,84,67,80,24,68,44,16,14,62,5,41,30,88,3,65,15,93,35,23,83,71,73,57,63,39,53,1,43,72,49,81,12,75,32,4,36
6,34,86,31,97,48,10,90,45,24,8,19,64,78,46,80,91,18,95,76,54,21,22,87,53,74,37,20,0,89,66,4,61,59,50,65,15,93,83,71,73,7,79,55,96,25,69,17,35,23,9,58,98,52,27,92,39,75,38,67,72,84,2,60,11,94,99,68,29,85,28,33,56,26,44,16,14,62,5,41,30,88,3,57,63,1,43,49,81,12,32,36,77,82,70,40,51,47,13,42
6,8,60,34,26,19,11,61,85,59,76,90,97,31,22,10,50,86,48,91,7,0,79,55,96,18,74,64,25,89,87,21,69,17,35,23,9,58,98,37,78,52,20,46,27,92,66,39,53,1,43,72,49,68,81,94,12,75,32,4,36,77,99,70,2,42,40,47,51,45,28,13,95,38,29,84,67,80,24,44,16,14,62,5,41,30,88,3,65,15,93,83,71,73,57,63,54,82,56,33
86,34,6,57,59,51,70,45,24,37,19,64,78,46,80,40,91,18,17,76,54,21,22,87,53,74,8,20,0,89,66,4,39,38,67,69,52,9,79,98,7,96,27,72,84,92,2,60,31,58,11,97,94,99,55,68,25,61,29,85,48,10,28,75,90,33,56,93,26,65,49,35,44,77,12,95,1,47,50,16,14,62,5,41,30,88,3,15,23,83,73,42,71,82,13,63,43,81,32,36
6,8,56,50,60,86,19,26,85,34,61,59,76,90,97,22,31,10,48,0,91,7,79,80,24,44,16,14,62,5,41,30,88,55,96,18,74,3,64,65,25,15,87,93,21,69,17,98,35,37,23,78,52,89,83,9,71,20,73,58,46,27,92,57,66,63,39,53,1,43,72,49,68,81,94,12,75,32,4,36,77,51,95,38,47,99,40,70,13,2,42,45,28,54,82,33,11,84,67,29
6,34,86,31,97,48,10,90,45,24,8,19,64,78,46,80,91,18,95,76,54,21,22,87,53,74,37,20,0,89,66,4,61,59,50,65,15,93,83,71,73,7,79,55,96,25,69,17,35,23,9,58,98,52,27,92,39,75,38,67,72,84,2,60,11,94,99,68,29,85,28,33,56,26,44,16,14,62,5,41,30,88,3,57,63,1,43,49,81,12,32,36,77,51,47,40,70,13,42,82
86,50,47,34,6,57,51,70,45,24,8,19,64,78,46,80,91,18,17,95,76,54,21,22,87,53,74,37,20,0,89,66,75,4,39,38,67,69,52,9,79,98,7,96,27,72,84,92,2,60,31,58,11,97,94,99,55,68,25,61,29,85,48,10,28,90,33,56,26,59,44,16,14,62,5,41,30,88,3,65,15,93,35,23,83,71,73,63,1,43,49,81,12,32,36,77,40,13,42,82
17,23,37,98,87,21,18,35,3,64,65,25,15,62,48,5,91,31,73,20,58,9,83,71,46,74,0,16,14,10,44,90,97,22,76,61,59,92,60,50,86,26,85,34,19,56,6,8,11,82,54,33,28,2,45,42,70,40,99,47,51,77,95,38,29,84,67,80,24,68,49,39,63,53,1,43,72,32,75,12,94,81,36,4,13,27,57,66,41,7,88,79,30,55,96,52,89,69,93,78
6,8,90,31,56,50,60,80,24,86,19,26,85,34,61,59,76,44,97,22,16,14,10,62,48,5,41,91,7,0,79,30,88,55,96,18,74,3,64,65,25,15,87,93,21,69,17,98,35,37,23,78,52,89,83,9,71,20,73,58,46,27,92,57,66,63,39,53,1,43,72,49,68,81,94,12,75,32,4,36,77,51,95,38,47,99,40,2,70,13,42,45,28,54,82,33,11,84,67,29
78,25,46,91,18,17,21,87,7,27,60,19,29,61,10,90,30,62,5,3,73,83,71,74,37,20,0,89,66,4,39,38,67,69,52,9,79,98,16,14,44,22,76,59,50,86,26,34,56,6,82,54,96,72,84,92,2,31,58,97,48,55,64,11,45,94,99,42,70,40,47,51,77,80,68,85,28,75,33,8,24,49,63,53,1,43,95,32,12,81,36,13,57,41,88,65,15,93,35,23
6,8,56,50,60,86,19,26,85,34,61,59,76,90,97,22,31,10,48,5,0,91,7,41,79,30,88,55,96,18,74,3,64,65,25,15,87,93,21,69,17,98,35,37,23,78,52,89,83,9,71,20,73,58,46,27,92,57,66,63,39,53,1,29,84,67,80,24,68,44,16,14,62,43,72,49,81,94,12,75,32,4,36,77,51,95,38,47,99,40,70,13,2,42,45,28,54,82,33,11
19,26,34,8,60,6,85,61,59,76,90,97,31,22,10,50,86,48,91,0,18,74,64,25,89,87,21,17,35,23,58,98,69,9,37,78,20,46,27,92,81,12,32,36,13,44,16,14,62,5,54,33,28,2,45,42,70,40,99,47,51,77,95,38,29,84,67,80,53,39,68,72,75,94,4,66,7,79,55,96,52,24,49,63,1,43,41,30,88,3,65,15,93,83,71,73,57,82,56,11
13,42,83,6,57,51,70,45,24,37,19,64,78,46,80,40,91,18,17,76,54,21,22,87,53,74,8,20,0,89,66,4,39,38,67,69,52,9,79,98,7,96,27,72,84,92,2,60,31,58,11,97,94,99,55,68,25,61,29,85,48,10,28,75,90,33,56,93,26,65,49,35,44,77,12,95,1,47,50,32,16,14,62,5,41,30,88,3,82,86,73,59,34,71,36,63,81,23,15,43
59,37,64,78,46,91,18,17,21,22,87,74,20,0,89,66,31,58,97,94,25,55,48,10,90,77,76,4,39,38,67,69,52,9,92,98,7,96,27,72,84,79,61,60,50,86,26,85,34,19,56,6,8,11,82,54,33,28,2,45,42,70,40,99,47,51,13,95,29,80,24,1,44,16,14,62,5,41,30,88,3,65,15,93,35,23,83,71,73,57,63,53,68,43,49,81,12,75,32,36
