[23, 37, 35, 98, 78, 52, 21, 15, 87, 93, 69, 17, 89, 62, 48, 5, 91, 7, 41, 79, 30, 88, 66, 27, 92, 57, 60, 50, 86, 8, 6, 11, 19, 26, 85, 82, 54, 33, 45, 2, 42, 28, 13, 70, 40, 99, 47, 29, 95, 77, 51, 4, 36, 75, 32, 12, 94, 81, 67, 72, 43, 49, 38, 80, 24, 68, 63, 39, 53, 1, 84, 76, 61, 59, 31, 10, 14, 16, 73, 20, 58, 9, 83, 71, 46, 0, 18, 74, 96, 55, 65, 64, 3, 25, 22, 97, 90, 44, 34, 56]
[86, 65, 59, 73, 93, 20, 78, 80, 48, 85, 67, 74, 52, 84, 72, 11, 70, 34, 26, 87, 21, 54, 42, 88, 3, 82, 32, 63, 81, 77, 23, 99, 66, 79, 19, 29, 2, 92, 10, 7, 98, 94, 89, 0, 31, 75, 28, 90, 27, 58, 60, 71, 36, 33, 57, 83, 6, 56, 45, 46, 9, 5, 14, 1, 13, 18, 91, 95, 16, 35, 40, 44, 43, 41, 15, 17, 12, 30, 62, 50, 47, 97, 96, 64, 55, 25, 61, 38, 39, 69, 4, 37, 76, 22, 53, 51, 49, 8, 24, 68]
[70, 40, 99, 47, 2, 42, 45, 28, 13, 29, 77, 51, 95, 38, 32, 75, 12, 94, 81, 4, 36, 43, 49, 72, 63, 39, 53, 1, 68, 50, 86, 8, 6, 11, 82, 54, 33, 84, 67, 80, 24, 60, 57, 92, 27, 91, 7, 41, 79, 30, 88, 55, 96, 74, 18, 52, 21, 15, 87, 93, 69, 65, 64, 3, 25, 17, 78, 23, 37, 35, 98, 83, 9, 62, 5, 48, 89, 16, 14, 10, 44, 90, 22, 97, 76, 61, 59, 85, 26, 19, 56, 66, 0, 46, 31, 73, 58, 20, 71, 34]
[59, 5, 32, 73, 34, 60, 57, 6, 83, 42, 49, 86, 79, 19, 37, 48, 85, 10, 92, 74, 61, 99, 55, 36, 71, 93, 24, 45, 8, 63, 1, 41, 13, 23, 91, 18, 16, 35, 40, 76, 17, 77, 47, 30, 14, 3, 81, 12, 95, 44, 15, 29, 67, 9, 39, 38, 66, 4, 80, 25, 68, 0, 94, 11, 33, 51, 53, 26, 70, 72, 84, 69, 52, 98, 7, 96, 90, 27, 2, 75, 28, 58, 31, 97, 21, 22, 87, 54, 88, 56, 89, 20, 46, 78, 64, 82, 65, 50, 62, 43]
[60, 92, 27, 66, 9, 37, 23, 17, 78, 87, 21, 15, 69, 52, 16, 14, 31, 58, 20, 73, 35, 34, 85, 54, 6, 8, 56, 19, 29, 68, 49, 72, 43, 86, 1, 32, 12, 75, 38, 4, 36, 51, 77, 95, 81, 41, 88, 79, 30, 18, 96, 55, 62, 5, 48, 33, 82, 11, 26, 22, 90, 83, 10, 71, 0, 44, 97, 76, 3, 64, 65, 89, 98, 59, 57, 93, 24, 80, 63, 39, 53, 94, 46, 74, 91, 7, 50, 2, 45, 42, 13, 70, 40, 47, 99, 28, 84, 67, 61, 25]
[73, 58, 14, 16, 62, 27, 92, 74, 52, 69, 64, 65, 3, 18, 48, 5, 78, 93, 17, 83, 89, 9, 87, 21, 15, 55, 7, 81, 95, 77, 51, 13, 99, 40, 70, 26, 19, 82, 54, 6, 75, 32, 12, 67, 45, 28, 33, 11, 29, 90, 44, 22, 57, 66, 39, 1, 53, 43, 49, 56, 8, 59, 76, 50, 86, 72, 30, 41, 71, 35, 37, 23, 20, 10, 31, 97, 61, 34, 85, 84, 60, 24, 80, 68, 63, 4, 36, 38, 2, 46, 42, 47, 94, 98, 91, 96, 25, 79, 88, 0]
[1, 39, 63, 53, 43, 72, 49, 84, 50, 24, 80, 60, 86, 8, 6, 11, 82, 54, 33, 28, 45, 2, 42, 99, 40, 70, 13, 38, 95, 51, 77, 4, 36, 32, 75, 12, 94, 81, 67, 47, 29, 56, 19, 26, 85, 34, 61, 59, 76, 90, 44, 31, 14, 16, 10, 73, 20, 58, 35, 37, 23, 98, 17, 52, 15, 87, 69, 21, 93, 78, 18, 74, 5, 48, 62, 0, 91, 7, 41, 79, 30, 88, 55, 96, 3, 64, 65, 25, 89, 83, 9, 71, 46, 97, 22, 92, 27, 57, 66, 68]
[68, 67, 47, 77, 51, 38, 95, 50, 62, 40, 70, 99, 2, 42, 54, 82, 29, 94, 75, 60, 80, 72, 49, 81, 12, 32, 4, 36, 45, 28, 13, 86, 63, 39, 48, 91, 46, 31, 92, 27, 9, 98, 14, 16, 58, 73, 64, 25, 65, 37, 35, 0, 41, 7, 30, 79, 55, 18, 74, 96, 89, 3, 52, 87, 15, 21, 78, 23, 71, 10, 20, 69, 93, 17, 97, 90, 56, 6, 8, 11, 26, 85, 61, 59, 19, 34, 5, 83, 76, 57, 88, 66, 1, 43, 53, 44, 22, 84, 33, 24]
[24, 80, 60, 50, 86, 8, 6, 11, 82, 54, 33, 28, 13, 2, 42, 45, 40, 70, 99, 47, 29, 95, 51, 77, 4, 36, 32, 75, 12, 94, 81, 72, 43, 63, 39, 53, 1, 68, 49, 67, 84, 56, 19, 26, 85, 34, 61, 59, 76, 97, 22, 90, 44, 31, 16, 14, 10, 73, 58, 20, 71, 35, 37, 23, 98, 17, 78, 52, 18, 96, 55, 30, 79, 41, 7, 91, 0, 62, 48, 5, 89, 15, 87, 93, 21, 69, 65, 64, 3, 25, 88, 66, 27, 92, 57, 46, 9, 83, 74, 38]
[95, 12, 47, 62, 30, 43, 22, 21, 36, 6, 83, 57, 45, 24, 8, 67, 9, 85, 48, 55, 25, 99, 78, 64, 46, 19, 74, 29, 53, 89, 0, 94, 20, 11, 97, 28, 58, 98, 7, 96, 75, 27, 90, 39, 38, 69, 4, 66, 68, 87, 51, 34, 60, 26, 93, 56, 73, 59, 33, 70, 61, 88, 42, 49, 17, 23, 76, 86, 71, 79, 37, 80, 77, 40, 35, 44, 16, 91, 18, 65, 5, 14, 3, 82, 32, 81, 63, 13, 41, 1, 10, 92, 72, 84, 52, 15, 54, 2, 31, 50]
